Latitude,Longitude
53.83416505990185,10.697546000821742
53.83416493092829,10.697555114001434
53.834175325066276,10.697582889631267
53.8341855902192,10.697619778458646
53.83419585536065,10.697656667303882
53.83421138203678,10.697702887416204
53.834221776139955,10.697730663112887
53.83423204124678,10.697767552016506
53.83424769687282,10.697804659012661
53.83425796195654,10.697841547956807
53.83427361755925,10.697878655003198
53.83428375361803,10.697924657191614
53.83428862813408,10.697961328100998
